,CountyId,State,County,TotalPop
290,8091,Colorado,Ouray County,4653
291,8093,Colorado,Park County,16900
292,8095,Colorado,Phillips County,4327
293,8097,Colorado,Pitkin County,17747
294,8099,Colorado,Prowers County,12084
295,8101,Colorado,Pueblo County,163368
296,8103,Colorado,Rio Blanco County,6557
297,8105,Colorado,Rio Grande County,11430
298,8107,Colorado,Routt County,24359
299,8109,Colorado,Saguache County,6338
300,8111,Colorado,San Juan County,569
301,8113,Colorado,San Miguel County,7804
302,8115,Colorado,Sedgwick County,2357
303,8117,Colorado,Summit County,29722
304,8119,Colorado,Teller County,23769
305,8121,Colorado,Washington County,4809
306,8123,Colorado,Weld County,285729
307,8125,Colorado,Yuma County,10109
308,9001,Connecticut,Fairfield County,947328
309,9003,Connecticut,Hartford County,897417
310,9005,Connecticut,Litchfield County,184454
311,9007,Connecticut,Middlesex County,164110
312,9009,Connecticut,New Haven County,862127
313,9011,Connecticut,New London County,270772
314,9013,Connecticut,Tolland County,151596
315,9015,Connecticut,Windham County,116674
316,10001,Delaware,Kent County,173145
317,10003,Delaware,New Castle County,555036
318,10005,Delaware,Sussex County,215551
319,11001,District of Columbia,District of Columbia,672391
320,12001,Florida,Alachua County,259865
321,12003,Florida,Baker County,27537
322,12005,Florida,Bay County,180117
323,12007,Florida,Bradford County,26775
324,12009,Florida,Brevard County,568183
325,12011,Florida,Broward County,1890416
326,12013,Florida,Calhoun County,14458
327,12015,Florida,Charlotte County,173236
328,12017,Florida,Citrus County,141373
329,12019,Florida,Clay County,203291
330,12021,Florida,Collier County,356774
331,12023,Florida,Columbia County,68484
332,12027,Florida,DeSoto County,35675
333,12029,Florida,Dixie County,16323
334,12031,Florida,Duval County,912043
335,12033,Florida,Escambia County,309924
336,12035,Florida,Flagler County,105015
337,12037,Florida,Franklin County,11675
338,12039,Florida,Gadsden County,46113
339,12041,Florida,Gilchrist County,17191
340,12043,Florida,Glades County,13197
341,12045,Florida,Gulf County,16018
342,12047,Florida,Hamilton County,14238
343,12049,Florida,Hardee County,27326
344,12051,Florida,Hendry County,39064
345,12053,Florida,Hernando County,179144
346,12055,Florida,Highlands County,100177
347,12057,Florida,Hillsborough County,1351087
348,12059,Florida,Holmes County,19483
349,12061,Florida,Indian River County,147981
350,12063,Florida,Jackson County,48571
351,12065,Florida,Jefferson County,14085
352,12067,Florida,Lafayette County,8684
353,12069,Florida,Lake County,326215
354,12071,Florida,Lee County,700165
355,12073,Florida,Leon County,285890
356,12075,Florida,Levy County,39713
357,12077,Florida,Liberty County,8347
358,12079,Florida,Madison County,18518
359,12081,Florida,Manatee County,363542
360,12083,Florida,Marion County,343778
361,12085,Florida,Martin County,155719
