State,County,TotalPop,Men,Women,VotingAgeCitizen,Income,Poverty,Pub_Transp,WorkAtHome,MeanCommute,Unemployment,Prv_Transp,Office_Jobs,NonOffice_Jobs,Mode_Severity,Mode_Weather_Condition,Day_Accidents,Total_Acc
Iowa,Calhoun,9814,5080,4734,7731,46302,1501,49,588,20.4,225,9176,6856,2713,3,Overcast,2.0,2
North Carolina,Iredell,169798,83570,86228,122949,55957,21564,679,8829,25.6,12225,160459,114713,42859,1,Clear,25.0,27
Nebraska,Dawson,23925,12235,11690,15194,51238,3277,0,813,15.3,1004,23135,13752,9168,1,Light Drizzle,0.0,1
Ohio,Hardin,31576,15620,15956,23874,46404,5241,63,1641,25.2,2147,29839,18952,10476,3,Clear,1.0,1
North Carolina,Alamance,157844,75078,82766,113344,44281,27780,315,4577,23.6,9470,152792,108906,39319,1,Clear,18.0,24
Nebraska,Douglas,549706,270917,278789,377163,58640,74210,6596,20888,19.3,24187,522220,431976,94067,1,Clear,107.0,126
Georgia,Sumter,30687,14492,16195,22763,34219,10249,0,1012,20.3,3252,29643,19094,8340,1,Clear,2.0,2
Maryland,St. Mary's,110979,55420,55559,81547,86508,9100,2441,2774,30.9,4661,105873,86117,20306,3,Overcast,1.0,11
Wisconsin,Milwaukee,956586,462784,493802,679917,46784,196100,54525,32523,22.4,67917,869536,699382,189286,1,Clear,473.0,618
Georgia,Liberty,62120,31466,30654,43087,43493,10311,310,683,21.6,7392,61126,41264,13463,3,Mostly Cloudy,4.0,6
Kentucky,Hart,18531,9138,9393,13865,37315,4280,0,667,29.1,1223,17863,10315,7009,1,Clear,2.0,2
Idaho,Latah,38697,19813,18884,30041,43310,8706,270,1586,19.4,2786,36839,29375,6535,1,Clear,1.0,1
Mississippi,Yalobusha,12426,6101,6325,9537,37647,2808,12,24,25.4,658,12401,6860,4907,1,Clear,3.0,3
Texas,McLennan,245720,119894,125826,170837,46262,47423,982,8845,19.4,12531,235891,177456,55965,1,Clear,1.0,2
Illinois,Ford,13470,6647,6823,10284,50851,2114,13,660,22.3,889,12796,8567,4025,3,Overcast,2.0,2
Florida,Sarasota,404839,193328,211511,324231,55236,42508,2833,26719,23.6,23075,375285,315718,66045,1,Clear,105.0,120
Oklahoma,Washita,11550,5729,5821,8374,51909,1640,11,623,21.6,531,10914,7658,3360,3,Mostly Cloudy,0.0,1
Illinois,Richland,15953,7919,8034,12282,46454,2392,63,414,19.2,1005,15474,9925,5022,3,Light Rain,2.0,2
Florida,Indian River,147981,71064,76917,115848,49009,18793,591,11246,22.4,12134,136290,109764,26218,1,Partly Cloudy,12.0,20
Oklahoma,Kiowa,9127,4493,4634,6890,38191,2181,0,456,20.9,556,8670,5811,2768,3,Partly Cloudy,2.0,2
Texas,Caldwell,40544,20563,19981,28283,51346,7176,81,1621,30.6,1378,38881,27024,12180,1,Clear,0.0,1
Indiana,Shelby,44339,21933,22406,33376,57216,4699,88,1108,23.5,2172,43186,27703,14463,3,Clear,7.0,11
Kansas,Lyon,33302,16165,17137,23641,42992,6194,199,1198,17.0,1931,31903,21708,9662,3,Overcast,3.0,3
Texas,Grayson,126146,61556,64590,90691,52683,18038,504,7442,24.9,8199,118198,87752,30076,3,Scattered Clouds,1.0,1
Virginia,King William,16329,8108,8221,12468,67423,1779,65,620,37.4,604,15626,10834,4874,1,Clear,8.0,8
Virginia,Alleghany,15489,7586,7903,12369,46020,2989,77,418,24.6,681,14977,9936,4871,1,Clear,2.0,4
West Virginia,Putnam,56644,27904,28740,43623,59113,5267,56,2039,24.7,1982,54604,43073,11588,1,Scattered Clouds,28.0,36
Utah,Beaver,6414,3296,3118,4165,47878,673,12,218,16.0,301,6176,4138,1974,1,Clear,3.0,5
New York,Rensselaer,159800,78800,81000,124423,63166,20134,4794,5433,24.4,9268,149572,122081,28450,1,Partly Cloudy,45.0,62
Maine,Franklin,30177,14739,15438,24418,45541,3741,120,1810,23.7,1840,28275,21167,7140,1,Light Snow,3.0,5
Iowa,Fayette,20139,10162,9977,15691,48412,2577,80,1691,19.5,704,18386,13312,6141,3,Clear,3.0,3
New Mexico,Hidalgo,4446,2179,2267,3247,31829,1155,0,257,19.9,400,4192,2925,1120,3,Clear,2.0,2
New Jersey,Burlington,449192,220995,228197,338998,82839,28748,16170,17069,29.3,30994,415951,350031,68166,1,Clear,86.0,120
Wisconsin,Monroe,45303,22893,22410,33266,56479,5708,90,2083,19.8,2129,43083,29142,14031,1,Clear,10.0,14
Georgia,Murray,39444,19397,20047,27426,41617,7099,78,276,27.3,2918,39128,20162,16400,3,Clear,0.0,2
Arkansas,Crittenden,49278,23303,25975,35076,38558,11580,147,1675,19.9,4139,47454,32003,13090,3,Clear,13.0,14
South Carolina,Cherokee,56549,27527,29022,42586,35286,12440,113,678,22.1,4410,55813,34620,17518,1,Light Rain,8.0,8
North Carolina,Davidson,164118,80121,83997,122515,45806,25930,656,4431,24.8,13457,159030,101696,49115,1,Clear,10.0,12
Alabama,Blount,57667,28490,29177,42513,47412,8996,57,1211,35.0,2825,56398,35482,19359,3,Partly Cloudy,4.0,4
Georgia,Dade,16282,7956,8326,13024,43163,2849,32,634,26.4,781,15598,10726,4774,1,Overcast,4.0,6
Ohio,Cuyahoga,1257401,599033,658368,957130,46720,230104,60355,50296,24.3,111908,1146749,937013,208479,1,Overcast,312.0,389
California,San Diego,3283665,1651147,1632518,2207599,70588,436727,101793,229856,25.7,233140,2955298,2559390,488084,1,Clear,1381.0,1810
New York,Bronx,1455846,685636,770210,849295,36593,432386,876419,45131,44.2,168878,535751,1054026,234228,1,Mostly Cloudy,312.0,476
South Carolina,Calhoun,14808,7071,7737,11656,44010,2709,44,459,28.1,962,14304,9235,4610,1,Scattered Clouds,13.0,15
Mississippi,Lafayette,52744,25611,27133,42154,45019,13344,369,1793,18.7,3006,50581,41431,8355,1,Partly Cloudy,1.0,1
Louisiana,Acadia,62607,30433,32174,45197,40492,13460,125,1565,27.6,5572,60916,40038,16996,1,Clear,3.0,5
Virginia,Washington,54457,26857,27600,43820,44844,7950,108,2668,24.0,3485,51625,39350,11672,1,Clear,7.0,13
Tennessee,Humphreys,18281,8985,9296,14310,40998,3363,0,329,27.5,1169,17951,11020,6091,1,Overcast,3.0,3
Illinois,Woodford,38942,19374,19568,29137,69507,2881,194,1518,22.7,1830,37189,28464,8647,3,Overcast,2.0,2
Iowa,Pocahontas,6972,3440,3532,5331,45969,920,0,481,18.2,244,6483,4379,2348,3,Scattered Clouds,0.0,4
Oregon,Umatilla,76736,40006,36730,51465,50071,13659,306,2302,18.0,6369,74126,46864,23572,3,Overcast,3.0,8
Georgia,Lowndes,113941,55796,58145,83763,39911,28485,455,2962,19.2,10482,110522,82042,21312,3,Clear,12.0,16
Oklahoma,Beckham,22971,12263,10708,16740,49625,2894,45,551,17.0,1056,22396,14836,7078,3,Clear,2.0,3
Georgia,Burke,22645,10752,11893,16455,38707,6612,45,611,26.4,1313,22010,14057,7295,3,Overcast,1.0,2
